####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC109261.2,low_depth,1,1,1.0,1,1.0,0.0
AC109266.1,low_depth,4,2,2.0,2,2.0,3.0
AC110166.1,pass,6,2,3.0,2,3.0,5.0
AC110166.2,low_depth,1,1,1.0,1,1.0,0.0
AC110241.1,pass,60,10,6.0,9,6.67,18.0
AC110534.1,low_depth,2,2,1.0,2,1.0,0.0
AC110534.4,pass,2545,323,7.88,265,9.6,16.62
AC110534.5,low_depth,5,3,1.67,3,1.67,3.0
AC110562.1,low_depth,1,1,1.0,1,1.0,0.0
AC112949.1,low_depth,1,1,1.0,1,1.0,0.0
AC113006.1,low_depth,3,1,3.0,1,3.0,3.0
AC113110.1,low_depth,2,1,2.0,1,2.0,2.0
AC113125.1,low_depth,5,4,1.25,4,1.25,2.0
AC114585.1,low_depth,1,1,1.0,1,1.0,0.0
AC114990.1,pass,183,37,4.95,35,5.23,10.87
AC114990.3,pass,56,14,4.0,12,4.67,23.0
AC115120.1,low_depth,1,1,1.0,1,1.0,0.0
AC115954.1,pass,337,18,18.72,15,22.47,30.27
AC116324.1,pass,117,17,6.88,13,9.0,15.86
AC117232.1,low_depth,2,2,1.0,2,1.0,0.0
AC117257.1,low_depth,3,3,1.0,3,1.0,0.0
AC117662.2,low_depth,4,2,2.0,2,2.0,3.0
AC117662.4,pass,14,1,14.0,1,14.0,14.0
AC121151.1,pass,45,6,7.5,3,15.0,43.0
AC121299.1,low_depth,4,3,1.33,3,1.33,2.0
AC121539.1,low_depth,1,1,1.0,1,1.0,0.0
AC121795.2,pass,12,1,12.0,1,12.0,12.0
AC121875.1,pass,61,10,6.1,10,6.1,13.75
AC121875.2,low_depth,1,1,1.0,1,1.0,0.0
AC122217.1,low_depth,2,2,1.0,2,1.0,0.0
AC122217.4,low_depth,1,1,1.0,1,1.0,0.0
AC122335.1,low_depth,10,10,1.0,10,1.0,0.0
AC122392.1,pass,5,2,2.5,2,2.5,4.0
AC122445.1,low_depth,26,24,1.08,24,1.08,2.0
