"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index120814",745,2035,"mainly_mouse"
"1820_Cell_Index120837",793,2256,"mainly_mouse"
"1820_Cell_Index121062",0,1386,"unique_mouse"
"1820_Cell_Index12122",504,1573,"mainly_mouse"
"1820_Cell_Index121278",744,2297,"mainly_mouse"
"1820_Cell_Index121331",0,640,"unique_mouse"
"1820_Cell_Index12142",999,2791,"mainly_mouse"
"1820_Cell_Index121450",838,2615,"mainly_mouse"
"1820_Cell_Index121457",624,1925,"mainly_mouse"
"1820_Cell_Index121541",779,2230,"mainly_mouse"
"1820_Cell_Index121585",566,1790,"mainly_mouse"
"1820_Cell_Index12167",1079,3250,"mainly_mouse"
"1820_Cell_Index121689",870,2495,"mainly_mouse"
"1820_Cell_Index121701",9168,21625,"mainly_mouse"
"1820_Cell_Index121737",3884,9285,"mainly_mouse"
"1820_Cell_Index121744",805,2437,"mainly_mouse"
"1820_Cell_Index121789",1007,3087,"mainly_mouse"
"1820_Cell_Index121816",988,2663,"mainly_mouse"
"1820_Cell_Index121843",1996,6319,"mainly_mouse"
"1820_Cell_Index121899",734,2147,"mainly_mouse"
"1820_Cell_Index122021",925,2708,"mainly_mouse"
"1820_Cell_Index122023",811,2365,"mainly_mouse"
"1820_Cell_Index122143",657,2024,"mainly_mouse"
"1820_Cell_Index12221",741,2319,"mainly_mouse"
"1820_Cell_Index122227",707,2207,"mainly_mouse"
"1820_Cell_Index122248",0,1022,"unique_mouse"
"1820_Cell_Index122374",853,2384,"mainly_mouse"
"1820_Cell_Index122395",0,1316,"unique_mouse"
"1820_Cell_Index122435",861,2324,"mainly_mouse"
"1820_Cell_Index122509",1287,4218,"mainly_mouse"
"1820_Cell_Index122525",581,1530,"mainly_mouse"
"1820_Cell_Index122682",918,2474,"mainly_mouse"
"1820_Cell_Index122906",5161,11544,"mainly_mouse"
"1820_Cell_Index122951",560,1853,"mainly_mouse"
"1820_Cell_Index123011",1574,4609,"mainly_mouse"
"1820_Cell_Index123066",864,2401,"mainly_mouse"
"1820_Cell_Index123135",0,1535,"unique_mouse"
"1820_Cell_Index123163",1290,4288,"mainly_mouse"
"1820_Cell_Index123204",756,2120,"mainly_mouse"
"1820_Cell_Index123219",951,2800,"mainly_mouse"
"1820_Cell_Index123257",6615,14809,"mainly_mouse"
"1820_Cell_Index12333",4011,10277,"mainly_mouse"
"1820_Cell_Index123350",554,1556,"mainly_mouse"
"1820_Cell_Index123393",1488,4309,"mainly_mouse"
"1820_Cell_Index123491",538,1525,"mainly_mouse"
"1820_Cell_Index123528",7473,19068,"mainly_mouse"
"1820_Cell_Index123740",1132,3160,"mainly_mouse"
"1820_Cell_Index123749",776,2249,"mainly_mouse"
"1820_Cell_Index123779",826,2401,"mainly_mouse"
"1820_Cell_Index1238",799,2494,"mainly_mouse"
"1820_Cell_Index123812",1078,3372,"mainly_mouse"
"1820_Cell_Index123848",9048,21944,"mainly_mouse"
"1820_Cell_Index123849",609,1804,"mainly_mouse"
"1820_Cell_Index123986",1778,5490,"mainly_mouse"
"1820_Cell_Index124007",740,1826,"mainly_mouse"
"1820_Cell_Index124071",818,2277,"mainly_mouse"
"1820_Cell_Index124249",0,1300,"unique_mouse"
"1820_Cell_Index124309",883,2511,"mainly_mouse"
"1820_Cell_Index124327",704,2106,"mainly_mouse"
"1820_Cell_Index124352",776,2308,"mainly_mouse"
"1820_Cell_Index124399",577,1946,"mainly_mouse"
"1820_Cell_Index124526",659,2004,"mainly_mouse"
"1820_Cell_Index124560",7725,18333,"mainly_mouse"
"1820_Cell_Index124617",552,1533,"mainly_mouse"
"1820_Cell_Index124741",1451,0,"unique_human"
"1820_Cell_Index124796",1766,5558,"mainly_mouse"
"1820_Cell_Index124872",899,2801,"mainly_mouse"
"1820_Cell_Index124939",916,2551,"mainly_mouse"
