####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC006372.3,low_depth,5,5,1.0,5,1.0,0.0
AC006372.4,low_depth,3,3,1.0,3,1.0,0.0
AC006378.1,low_depth,38,28,1.36,28,1.36,3.0
AC006378.2,low_depth,5,5,1.0,5,1.0,0.0
AC006380.1,low_depth,4,4,1.0,4,1.0,0.0
AC006387.1,low_depth,10,10,1.0,10,1.0,0.0
AC006390.1,low_depth,1,1,1.0,1,1.0,0.0
AC006427.1,low_depth,2,2,1.0,2,1.0,0.0
AC006435.1,low_depth,16,16,1.0,16,1.0,0.0
AC006435.2,low_depth,5,5,1.0,5,1.0,0.0
AC006441.1,low_depth,4,4,1.0,4,1.0,0.0
AC006441.2,low_depth,2,2,1.0,2,1.0,0.0
AC006441.3,pass,9,2,4.5,2,4.5,8.0
AC006441.4,low_depth,3,3,1.0,3,1.0,0.0
AC006445.1,pass,12672,1967,6.44,1764,7.18,12.26
AC006445.2,low_depth,14,14,1.0,14,1.0,0.0
AC006449.1,low_depth,1,1,1.0,1,1.0,0.0
AC006449.2,pass,9,3,3.0,2,4.5,4.5
AC006449.3,low_depth,4,3,1.33,3,1.33,2.0
AC006449.5,low_depth,6,6,1.0,6,1.0,0.0
AC006449.6,pass,79,18,4.39,17,4.65,13.4
AC006450.2,low_depth,3,3,1.0,3,1.0,0.0
AC006450.3,pass,10,6,1.67,6,1.67,5.0
AC006452.1,pass,264,60,4.4,55,4.8,9.71
AC006453.1,low_depth,6,5,1.2,5,1.2,2.0
AC006453.2,pass,103,30,3.43,27,3.81,6.85
AC006457.1,pass,131,47,2.79,47,2.79,4.23
AC006458.1,low_depth,3,1,3.0,1,3.0,3.0
AC006460.1,pass,61,6,10.17,6,10.17,12.0
AC006460.2,pass,200,60,3.33,56,3.57,9.47
AC006461.1,low_depth,82,60,1.37,60,1.37,3.44
AC006466.1,low_depth,1,1,1.0,1,1.0,0.0
AC006480.1,low_depth,33,32,1.03,32,1.03,2.0
AC006480.2,pass,145,35,4.14,33,4.39,11.18
AC006483.1,pass,2560,807,3.17,783,3.27,5.24
AC006484.1,low_depth,2,2,1.0,2,1.0,0.0
AC006486.2,pass,30,5,6.0,5,6.0,9.33
AC006487.1,low_depth,4,4,1.0,4,1.0,0.0
AC006487.2,low_depth,1,1,1.0,1,1.0,0.0
AC006499.1,low_depth,4,4,1.0,4,1.0,0.0
AC006499.2,low_depth,3,3,1.0,3,1.0,0.0
AC006499.4,pass,76,17,4.47,15,5.07,7.78
AC006499.7,pass,8,3,2.67,1,8.0,8.0
AC006504.1,pass,23,5,4.6,5,4.6,10.0
AC006504.3,pass,22,1,22.0,1,22.0,22.0
AC006504.4,pass,17,11,1.55,11,1.55,4.0
